px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	3.04035	-3.11283	0	8.46292	0.243462	8.6	0.25	-3.00029	0	0
8.44818	0.251553	0	0	0	8.44818	0.251553	8.45	0.25	-3.00027	0	0
8.56759	0.241943	0.0105258	-3.11336	0	8.56759	0.241943	8.45	0.25	0	0	0
8.45582	0.253997	0	0	0	8.45582	0.253997	8.45	0.25	0	0	0
8.42544	0.254042	1.85813	-3.11145	0	8.42544	0.254042	8.35	0.25	-1.81979	0	0
8.23962	0.24916	0	0	0	8.23962	0.24916	8.25	0.25	-1.81978	0	0
7.93286	0.188391	3.81077	-3.11785	0	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	0
7.84073	0.159858	0	0	0	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0
7.61269	0.155818	3.22052	-3.12113	0	7.61269	0.155818	7.7	0.15	-2.99982	0	0
7.54016	0.159641	0	0	0	7.54016	0.159641	7.55	0.15	-2.99982	0	0
7.50815	0.0953827	1.89765	-3.12889	0	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	0
7.3426	0.0345312	0	0	0	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0
7.20598	0.00492725	2.79536	-3.14091	0	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	0
7.05406	-0.0533413	0	0	0	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0
6.74585	-0.143185	1.67069	3.12037	0	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	0
6.84972	-0.258748	0	0	0	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0
6.66966	-0.346668	2.02379	3.08966	0	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	0
6.64329	-0.462604	0	0	0	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	0
6.60862	-0.557035	0.81497	3.0575	0	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	0
6.56029	-0.650892	0	0	0	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0
6.40696	-0.842921	0.356062	3.01078	0	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	0
6.45805	-1.05268	0	0	0	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	0
6.38626	-1.15695	1.23944	2.96237	0	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	0
6.25499	-1.25007	0	0	0	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	0
6.43125	-1.48148	1.73835	-0.226407	0	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	0
6.36328	-1.65656	0	0	0	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	0
6.3228	-1.81431	0.211523	2.86215	0	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	0
6.24641	-1.95075	0	0	0	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	0
6.31851	-2.10969	1.75689	-0.322252	0	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	0
6.34644	-2.23829	0	0	0	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	0
